cd_mun,municipio,nm_mun_y,uf,nm_uf,regional,faixa_populacional,populacao,area_km2,n_meses_com_registro,cvli_total,furto_total,roubo_total,densidade_cvli_100milhab,densidade_furto_100milhab,densidade_roubo_100milhab
1500107,Abaetetuba,Abaetetuba,PA,Pará,TOCANTINS,de 100 mil a 200 mil,158188,1610.646,12,13,949,435,8.218069638657798,599.9190836220193,274.9892532935494
1500131,Abel Figueiredo,Abel Figueiredo,PA,Pará,CARAJAS,Até 20 mil,7484,614.131,12,1,45,7,13.36183858898984,601.2827365045431,93.53287012292891
1500206,Acará,Acará,PA,Pará,TOCANTINS,de 41 mil a 100 mil,57371,4344.387,12,19,403,91,33.11777727423263,702.4454863955657,158.6167227344826
1500305,Afuá,Afuá,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,37765,8338.438,12,3,195,12,7.943863365550112,516.3511187607573,31.77545346220045
1500404,Alenquer,Alenquer,PA,Pará,BAIXO AMAZONAS,de 41 mil a 100 mil,53062,23644.385,12,10,339,52,18.84587840639252,638.8752779767066,97.99856771324112
1500503,Almeirim,Almeirim,PA,Pará,BAIXO AMAZONAS,de 21 mil a 40 mil,34280,72968.578,12,15,271,15,43.75729288214703,790.5484247374562,43.75729288214703
1500602,Altamira,Altamira,PA,Pará,XINGU,de 100 mil a 200 mil,126279,159533.306,12,56,1335,215,44.34624917840654,1057.182904520942,170.2579209528108
1500701,Anajás,Anajás,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,28012,6913.64,12,9,243,28,32.12908753391404,867.4853634156789,99.95716121662146
1500800,Ananindeua,Ananindeua,PA,Pará,METROPOLITANA,Acima de 200 mil,478778,190.59,12,75,5662,4771,15.66488017410992,1182.594020610805,996.4952441423791
1500859,Anapu,Anapu,PA,Pará,XINGU,de 21 mil a 40 mil,31846,11895.27,12,30,259,24,94.20335363938956,813.2889530867299,75.36268291151165
1500909,Augusto Corrêa,Augusto Corrêa,PA,Pará,CAETE,de 41 mil a 100 mil,44573,1099.58,12,6,247,39,13.46106387274808,554.1471294281291,87.4969151728625
1500958,Aurora do Pará,Aurora do Pará,PA,Pará,CAPIM,de 21 mil a 40 mil,29323,1811.84,12,3,76,19,10.23087678614057,259.1822119155612,64.7955529788903
1501006,Aveiro,Aveiro,PA,Pará,TAPAJOS,Até 20 mil,15021,17074.053,12,2,41,2,13.31469276346448,272.9512016510219,13.31469276346448
1501105,Bagre,Bagre,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,33325,4397.321,12,2,391,11,6.001500375093773,1173.293323330833,33.00825206301575
1501204,Baião,Baião,PA,Pará,TOCANTINS,de 41 mil a 100 mil,51641,3760.0,12,5,212,21,9.682229236459403,410.5265196258786,40.66536279312949
1501253,Bannach,Bannach,PA,Pará,ALTO XINGU,Até 20 mil,4031,2956.649,6,3,5,1,74.42322004465393,124.0387000744232,24.80774001488464
1501303,Barcarena,Barcarena,PA,Pará,TOCANTINS,de 100 mil a 200 mil,126650,1310.338,12,25,1080,532,19.73943939992104,852.743782076589,420.0552704303198
1501451,Belterra,Belterra,PA,Pará,BAIXO AMAZONAS,Até 20 mil,18442,4398.418,12,4,129,9,21.68962151610454,699.4902938943716,48.80164841123522
1501402,Belém,Belém,PA,Pará,CAPITAL,Acima de 200 mil,1303389,1059.458,12,175,27705,13785,13.42653651365786,2125.612537776519,1057.627461947277
1501501,Benevides,Benevides,PA,Pará,METROPOLITANA,de 41 mil a 100 mil,63567,187.826,12,10,675,292,15.7314329762298,1061.871725895512,459.3578429059103
1501576,Bom Jesus do Tocantins,Bom Jesus do Tocantins,PA,Pará,CARAJAS,Até 20 mil,15215,2816.604,12,4,145,9,26.28984554715741,953.0069010844562,59.15215248110417
1501600,Bonito,Bonito,PA,Pará,CAETE,Até 20 mil,14281,586.977,12,5,86,8,35.01155381275821,602.1987255794412,56.01848610041314
1501709,Bragança,Bragança,PA,Pará,CAETE,de 100 mil a 200 mil,123082,2124.735,12,19,1231,334,15.43686322939179,1000.146243967436,271.3638062429925
1501725,Brasil Novo,Brasil Novo,PA,Pará,XINGU,Até 20 mil,17935,6362.575,12,10,130,17,55.75689991636465,724.8396989127405,94.7867298578199
